size width length distance label
0.0005 0.0467 0.0525 2.125 1.0
0.023 0.0869 0.2755 2.04 1.0
0.2544 0.1214 0.3891 1.417 1.0
0.1276 0.111 0.3262 1.549 1.0
0.0003 0.0301 0.0678 2.506 1.0
0.0049 0.072 0.2011 2.37 1.0
0.0007 0.0446 0.0696 1.968 1.0
0.5821 0.1327 0.403 1.163 1.0
0.0049 0.0665 0.1474 1.88 1.0
0.0011 0.0536 0.1762 2.485 1.0
0.0024 0.0689 0.1452 2.252 1.0
0.2208 0.1164 0.3388 1.317 1.0
0.0025 0.069 0.1419 1.875 1.0
0.0207 0.0824 0.2757 2.001 1.0
0.1232 0.1057 0.3053 1.484 1.0
0.017 0.0834 0.2685 2.05 1.0
0.4387 0.1152 0.371 1.114 1.0
0.1152 0.1084 0.3455 1.579 1.0
0.5762 0.1311 0.4302 1.198 1.0
0.0005 0.0475 0.1219 2.221 1.0
0.0005 0.0422 0.0862 2.282 1.0
0.0956 0.1072 0.2864 1.599 1.0
0.034 0.0962 0.3064 2.028 1.0
0.0145 0.0899 0.194 1.803 1.0
0.0014 0.0576 0.1306 2.056 1.0
0.5461 0.1265 0.3772 1.16 1.0
0.0006 0.0498 0.0831 1.981 1.0
0.5961 0.137 0.369 1.154 1.0
0.0192 0.0864 0.227 1.881 1.0
0.0739 0.1093 0.3735 1.898 1.0
0.7821 0.1502 0.3488 1.084 1.0
0.0008 0.0525 0.1089 2.51 1.0
0.0079 0.0746 0.224 1.923 1.0
0.0008 0.0462 0.0652 2.246 1.0
0.0053 0.0702 0.241 2.304 1.0
0.0004 0.0387 0.0714 2.6 1.0
0.0008 0.0538 0.1045 1.907 1.0
0.0002 0.0261 0.0463 2.019 1.0
0.0052 0.0671 0.18 1.901 1.0
0.0157 0.0825 0.2716 2.091 1.0
0.0124 0.0811 0.2523 2.102 1.0
0.0003 0.0406 0.0645 2.283 1.0
0.0157 0.0824 0.2133 1.784 1.0
0.0007 0.0495 0.0943 1.953 1.0
0.0032 0.0625 0.2358 2.456 1.0
0.006 0.0715 0.1688 1.919 1.0
0.0008 0.0484 0.0963 2.102 1.0
0.1101 0.1084 0.31 1.559 1.0
0.0536 0.1022 0.3279 1.811 1.0
0.0225 0.0862 0.2685 1.809 1.0
0.0426 0.0965 0.3447 1.932 1.0
0.001 0.0556 0.1225 1.965 1.0
0.0085 0.0757 0.2955 2.228 1.0
0.0017 0.0536 0.1629 1.926 1.0
0.041 0.0894 0.2638 1.647 1.0
0.0026 0.0592 0.1956 2.151 1.0
0.0008 0.0487 0.0793 1.951 1.0
0.0418 0.0918 0.3081 1.752 1.0
0.0017 0.0507 0.1806 1.983 1.0
0.0004 0.0309 0.0842 1.987 1.0
0.0158 0.0842 0.2569 2.118 1.0
0.009 0.0786 0.1921 1.921 1.0
0.5664 0.1419 0.3456 0.964 1.0
0.1732 0.1101 0.323 1.342 1.0
0.0053 0.0703 0.1676 2.038 1.0
0.0296 0.0853 0.232 1.747 1.0
0.0027 0.0577 0.1409 1.902 1.0
0.0033 0.0613 0.1954 2.453 1.0
0.0034 0.0663 0.21 2.414 1.0
0.0379 0.1005 0.2583 1.807 1.0
0.0356 0.1011 0.2402 1.733 1.0
0.0077 0.0755 0.163 1.914 1.0
0.0014 0.0504 0.1117 1.917 1.0
0.0034 0.151 0.2541 1.833 1.0
0.1393 0.1954 0.403 1.329 1.0
0.0086 0.0931 0.2417 2.121 1.0
0.0041 0.081 0.1974 2.092 1.0
0.0019 0.0646 0.1421 2.129 1.0
0.0008 0.0689 0.2345 2.183 1.0
0.0006 0.0512 0.078 1.97 1.0
0.3047 0.1995 0.3848 1.084 1.0
0.2691 0.218 0.411 1.114 1.0
0.0288 0.1412 0.274 1.594 1.0
0.0022 0.0573 0.1617 2.275 1.0
0.1013 0.1119 0.345 1.641 1.0
0.0003 0.0516 0.0536 2.022 1.0
0.0165 0.0857 0.2594 1.976 1.0
0.0422 0.0944 0.2721 1.67 1.0
0.064 0.1014 0.2943 1.588 1.0
0.0184 0.0939 0.2866 2.096 1.0
0.2583 0.1339 0.3778 1.378 1.0
0.0024 0.0785 0.1449 2.227 1.0
0.0378 0.1114 0.3736 1.666 1.0
0.001 0.055 0.1805 2.347 1.0
0.0026 0.0762 0.1494 2.374 1.0
0.0015 0.059 0.1028 1.931 1.0
0.0035 0.0824 0.2385 2.473 1.0
0.868 0.2555 0.4646 0.87 1.0
0.0078 0.0776 0.2623 2.255 1.0
0.0087 0.0706 0.2046 1.805 1.0
0.0432 0.0969 0.27 1.613 1.0
0.013 0.0795 0.2844 2.093 1.0
0.0035 0.0654 0.2023 2.244 1.0
0.0249 0.0867 0.2343 1.691 1.0
0.8135 0.2074 0.4207 0.939 1.0
0.004 0.0688 0.2306 2.243 1.0
0.172 0.117 0.3441 1.423 1.0
0.002 0.0568 0.2062 2.438 1.0
0.0013 0.0598 0.1502 1.97 1.0
0.1055 0.1065 0.3905 1.592 1.0
0.0031 0.0638 0.2173 2.151 1.0
0.2048 0.1163 0.3599 1.386 1.0
0.0101 0.0724 0.2543 1.957 1.0
0.6296 0.1346 0.3522 1.064 1.0
0.4991 0.1236 0.4487 1.166 1.0
0.0048 0.0681 0.2244 1.931 1.0
0.0033 0.0656 0.1623 1.828 1.0
0.0139 0.0858 0.3325 2.054 1.0
0.0012 0.0568 0.1255 1.918 1.0
0.0296 0.0896 0.3383 1.798 1.0
0.1785 0.1135 0.3742 1.393 1.0
0.0132 0.08 0.3019 1.936 1.0
0.0675 0.0996 0.3571 1.652 1.0
0.1647 0.1149 0.4406 1.513 1.0
0.0228 0.0905 0.3638 2.058 1.0
0.0074 0.069 0.2512 1.893 1.0
0.0024 0.0653 0.1679 1.852 1.0
0.0026 0.0583 0.2124 2.522 1.0
0.0026 0.0684 0.1754 2.254 1.0
0.1096 0.1082 0.3329 1.538 1.0
0.3553 0.115 0.4049 1.184 1.0
0.0022 0.063 0.183 2.525 1.0
0.0044 0.0726 0.1894 2.165 1.0
0.8487 0.3812 0.471 0.43 1.0
0.0213 0.0927 0.2782 2.074 1.0
0.0063 0.0696 0.1786 1.997 1.0
0.0327 0.1047 0.337 2.287 1.0
0.1798 0.1461 0.3377 1.648 1.0
0.0506 0.1143 0.3511 2.151 1.0
0.233 0.1366 0.333 1.533 1.0
0.0129 0.0893 0.2465 2.095 1.0
0.0226 0.1019 0.2718 2.103 1.0
0.0696 0.1144 0.3175 1.803 1.0
0.0312 0.1054 0.2663 1.881 1.0
0.0037 0.0709 0.2255 2.51 1.0
0.0028 0.0639 0.1728 2.056 1.0
0.0017 0.0561 0.1241 1.976 1.0
0.0166 0.0957 0.2702 2.085 1.0
0.0005 0.0493 0.067 2.682 1.0
0.005 0.0633 0.1583 1.941 1.0
0.0835 0.1065 0.2838 1.684 1.0
0.4353 0.1315 0.4539 1.317 1.0
